service_id,date,exception_type,holiday_name
SPRING2025-NORTHSS-Weekend-22-S6561ad1d,20251128,1,Day after Thanksgiving Day
SPRING2025-NORTHSS-Weekend-22-S7d8482ee,20251128,1,Day after Thanksgiving Day
SPRING2025-NORTHSS-Weekend-22-S9d378dcf,20251128,1,Day after Thanksgiving Day
SPRING2025-NORTHWKD-Weekday-22,20251128,2,Day after Thanksgiving Day
SPRING2025-NORTHWKD-Weekday-22-S6d,20251128,2,Day after Thanksgiving Day
SPRING2025-NORTHWKD-Weekday-22-S72,20251128,2,Day after Thanksgiving Day
SPRING2025-NORTHWKD-Weekday-22-S9f,20251128,2,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-1-Sb0e4ed14,20251128,1,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-1-Sb7371956,20251128,1,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-1-Sc9a3b080,20251128,1,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-1-Sd88ed885,20251128,1,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-31,20251128,1,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-31-S85407dc6,20251128,1,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-31-Scbbf1ea5,20251128,1,Day after Thanksgiving Day
Spring/SummerWeekday,20251128,2,Day after Thanksgiving Day
VeteransDay-DayafterThanksgivingDay,20251128,1,Day after Thanksgiving Day
SPRING2025-SOUTHSS-Weekend-1-Sb0e4ed14,20251130,1,
SPRING2025-SOUTHSS-Weekend-1-Sb7371956,20251130,1,
SPRING2025-SOUTHSS-Weekend-1-Sc9a3b080,20251130,1,
SPRING2025-SOUTHSS-Weekend-1-Sd88ed885,20251130,1,
SPRING2025-SOUTHWKD-Weekday-32,20251201,1,
SPRING2025-SOUTHWKD-Weekday-32-S86,20251201,1,
SPRING2025-SOUTHWKD-Weekday-32-Sc5,20251201,1,
BUS42025-hbs45sw6-Saturday-02,20251206,1,
BUS42025-hbs45sw7-Sunday-02,20251207,1,
SPRING2025-SOUTHSS-Weekend-1-Sb0e4ed14,20251207,1,
SPRING2025-SOUTHSS-Weekend-1-Sb7371956,20251207,1,
SPRING2025-SOUTHSS-Weekend-1-Sc9a3b080,20251207,1,
SPRING2025-SOUTHSS-Weekend-1-Sd88ed885,20251207,1,
BUS42025-hbs45sw6-Saturday-02,20251213,1,
